, ID,Q_cms
1976-10-01,08HA011,9.83
1976-11-01,08HA011,24.8
1976-12-01,08HA011,51.3
1977-01-01,08HA011,56.3
1977-02-01,08HA011,60.4
1977-03-01,08HA011,78.3
1977-04-01,08HA011,48.2
1977-05-01,08HA011,20.4
1977-06-01,08HA011,13.1
1977-07-01,08HA011,6.07
1977-08-01,08HA011,5.68
1977-09-01,08HA011,8.11
1977-10-01,08HA011,20.2
1977-11-01,08HA011,119.0
1977-12-01,08HA011,138.0
1978-01-01,08HA011,71.2
1978-02-01,08HA011,61.2
1978-03-01,08HA011,41.8
1978-04-01,08HA011,34.0
1978-05-01,08HA011,18.2
1978-06-01,08HA011,11.4
1978-07-01,08HA011,6.46
1978-08-01,08HA011,5.45
1978-09-01,08HA011,24.4
1978-10-01,08HA011,22.3
1978-11-01,08HA011,28.7
1978-12-01,08HA011,40.4
1979-01-01,08HA011,25.6
1979-02-01,08HA011,74.9
1979-03-01,08HA011,102.0
1979-04-01,08HA011,35.9
1979-05-01,08HA011,21.6
1979-06-01,08HA011,6.71
1979-07-01,08HA011,4.69
1979-08-01,08HA011,4.73
1979-09-01,08HA011,20.2
1979-10-01,08HA011,25.4
1979-11-01,08HA011,40.0
1979-12-01,08HA011,161.0
1980-01-01,08HA011,113.0
1980-02-01,08HA011,98.1
1980-03-01,08HA011,81.8
1980-04-01,08HA011,58.0
1980-05-01,08HA011,21.8
1980-06-01,08HA011,8.19
1980-07-01,08HA011,10.1
1980-08-01,08HA011,7.14
1980-09-01,08HA011,7.05
1980-10-01,08HA011,13.4
1980-11-01,08HA011,109.0
1980-12-01,08HA011,177.0
1981-01-01,08HA011,108.0
1981-02-01,08HA011,99.4
1981-03-01,08HA011,47.6
1981-04-01,08HA011,57.7
1981-05-01,08HA011,41.4
1981-06-01,08HA011,19.4
1981-07-01,08HA011,14.5
1981-08-01,08HA011,6.67
1981-09-01,08HA011,8.02
1981-10-01,08HA011,44.0
1981-11-01,08HA011,139.0
1981-12-01,08HA011,141.0
1982-01-01,08HA011,73.6
1982-02-01,08HA011,123.0
1982-03-01,08HA011,72.3
1982-04-01,08HA011,37.6
1982-05-01,08HA011,36.7
1982-06-01,08HA011,16.7
1982-07-01,08HA011,10.4
